Date received,Product,Issue,Consumer complaint narrative,Company response to consumer,clean_text,text_length,word_count,record_id
02-09-2025,Credit reporting or other personal consumer reports,Incorrect information on your report,"Contents of Complaint : This CFPB complaint has been led to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you, the Equifax credit reporting agency , block information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint. This fraudulent, inaccurate, and false information consists of the following items : XXXX XX/XX/year> Equifax These items have resulted in other several fraudulent hard inquiries and fraudulent collections appearing on my consumer FICO credit report. I do not recognize the aforementioned accounts, collections, or hard inquiries as reported. The aforementioned accounts, collections, and hard inquiries appearing on my consumer credit report maintained by you were not opened, made, or initiated by me. All of the aforementioned accounts, collections, and hard inquiries are the result of identity theft and fraud. I've attached an affidavit of truth, proof of identity, proof of address and a copy of the consumer FICO credit report maintained by you which shows the aforementioned fraudulent items. I have also attached a copy of FTC Identity Theft Criminal Complaint # ( private case number ) as proof from the US Federal Trade Commission that all of the aforementioned consumer credit accounts, collections, and hard inquiries are the result of identity theft and fraud.",Closed with non-monetary relief,contents of complaint   this cfpb complaint has been led to request pursuant to fcra 605b   15 u s c  1681c 2   that you  the equifax credit reporting agency   block information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint  this fraudulent  inaccurate  and false information consists of the following items   xxxx xx xx year  equifax these items have resulted in other several fraudulent hard inquiries and fraudulent collections appearing on my consumer fico credit report  i do not recognize the aforementioned accounts  collections  or hard inquiries as reported  the aforementioned accounts  collections  and hard inquiries appearing on my consumer credit report maintained by you were not opened  made  or initiated by me  all of the aforementioned accounts  collections  and hard inquiries are the result of identity theft and fraud  i ve attached an affidavit of truth  proof of identity  proof of address and a copy of the consumer fico credit report maintained by you which shows the aforementioned fraudulent items  i have also attached a copy of ftc identity theft criminal complaint     private case number   as proof from the us federal trade commission that all of the aforementioned consumer credit accounts  collections  and hard inquiries are the result of identity theft and fraud,1394,218,0
11-12-2024,Credit reporting or other personal consumer reports,Incorrect information on your report,"Im submitting a complaint to you today to inform you I was the victim of identity theft. I researched how to remove the fraudulent items in my report and found that I need to visit the FEDERAL TRADE COMMISSION or https : //www.ftc.gov to file a report Per FCRA section 605b Credit Reporting Agencies are required to remove/block any items listed on an ID theft report. Please find the ATTACHED documents to assist in blocking the erroneous information that is being posted to my report. 

Here is the list of items that do not belong to me or were opened without my permission. 
XXXX XXXX XXXX Balance : {$0.00} XXXX XXXX  XXXX Balance : {$0.00} XXXX XXXX  XXXX Balance : {$0.00} XXXX XXXX  XXXX Balance : {$0.00} XXXX XXXX Balance : {$0.00} XXXX XXXX Balance : {$0.00} XXXX XXXX Balance : {$0.00} XXXX XXXX Balance : {$0.00} : XXXX  XXXX XXXX Balance : {$0.00} XXXX  XXXX XXXX Balance : {$0.00} XXXX  XXXX Bankruptcy DateFiled/Reported : XX/XX/XXXX Reference # : XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XX/XX/XXXX",Closed with explanation,im submitting a complaint to you today to inform you i was the victim of identity theft  i researched how to remove the fraudulent items in my report and found that i need to visit the federal trade commission or https     www ftc gov to file a report per fcra section 605b credit reporting agencies are required to remove block any items listed on an id theft report  please find the attached documents to assist in blocking the erroneous information that is being posted to my report  here is the list of items that do not belong to me or were opened without my permission  xxxx xxxx xxxx balance     0 00  xxxx xxxx xxxx balance     0 00  xxxx xxxx xxxx balance     0 00  xxxx xxxx xxxx balance     0 00  xxxx xxxx balance     0 00  xxxx xxxx balance     0 00  xxxx xxxx balance     0 00  xxxx xxxx balance     0 00    xxxx xxxx xxxx balance     0 00  xxxx xxxx xxxx balance     0 00  xxxx xxxx bankruptcy datefiled reported   xx xx xxxx reference     xxxx xxxx xxxx xxxx xxxx xx xx xxxx xxxx xx xx xxxx,1006,182,1
19-06-2021,Debt collection,Attempts to collect debt not owed,"on XX/XX/2021, I sent a letter to Convergent Outsourcing requesting requesting legal documents about this alleged debt they claim I owe them. I am not liable for this debt with XXXX and I do not have a contract with Convergent Outsourcing. In addition, they did not provide me with the original application like I asked them. They sent me some statements, but fail to provide me with the original application therefore they need to delete this account from my credit reports",Closed with explanation,on xx xx 2021  i sent a letter to convergent outsourcing requesting requesting legal documents about this alleged debt they claim i owe them  i am not liable for this debt with xxxx and i do not have a contract with convergent outsourcing  in addition  they did not provide me with the original application like i asked them  they sent me some statements  but fail to provide me with the original application therefore they need to delete this account from my credit reports,474,83,2
19-05-2025,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,"Hello! I am requesting an immediate correction of the mentioned account. The XXXX credit bureaus, obligated by federal law to promptly respond within the constitutionally prescribed time limit, have regrettably neglected their duty to address my letters. I am appealing to you to take swift action on this matter at your earliest convenience. Please correct the listed account above. Thank you. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX",Closed with non-monetary relief,hello  i am requesting an immediate correction of the mentioned account  the xxxx credit bureaus  obligated by federal law to promptly respond within the constitutionally prescribed time limit  have regrettably neglected their duty to address my letters  i am appealing to you to take swift action on this matter at your earliest convenience  please correct the listed account above  thank you  xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxx xx xxxx,519,86,3
08-02-2024,Credit reporting or other personal consumer reports,Incorrect information on your report,"I am writing to express my concern regarding unauthorized inquiries listed on my recent credit report. After reviewing the report, I have identified the following unauthorized inquiries. These unauthorized inquiries have adversely impacted my credit standing, making it difficult for me to apply for new credit. In light of this, I demand that you remove the listed inquiries immediately. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Closed with explanation,i am writing to express my concern regarding unauthorized inquiries listed on my recent credit report  after reviewing the report  i have identified the following unauthorized inquiries  these unauthorized inquiries have adversely impacted my credit standing  making it difficult for me to apply for new credit  in light of this  i demand that you remove the listed inquiries immediately  xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx,698,121,4
16-10-2024,Checking or savings account,Problem with a lender or other company charging your account,"I had several transactions for unauthorized purchases. The money used to make the purchases was moved from our savings account to checking and paid with by debit card. We have since then closed the checking account, replaced the cards and added a freeze to our credit report. 

We have submitted 4 disputes to the bank for the transactions in question. Three of those disputes were approved withing a day or two. The balance of our money however has now been denied twice. The three disputes approved where used with the same merchant, same card and same bank accounts. 

I have filed a report with the Police and also working with XXXX to verify that these charges were unauthorized. I am attaching all the documentation provided to both Truist as well as XXXX. 

Not having these funds replaced by Truist has put us in a financial strain. We have been trying to resolve this for almost 2 months to date. We need a resolution as soon as possible as we have bills that are late. 

I have attached all supporting documents provided to Truist.",Closed with monetary relief,i had several transactions for unauthorized purchases  the money used to make the purchases was moved from our savings account to checking and paid with by debit card  we have since then closed the checking account  replaced the cards and added a freeze to our credit report  we have submitted 4 disputes to the bank for the transactions in question  three of those disputes were approved withing a day or two  the balance of our money however has now been denied twice  the three disputes approved where used with the same merchant  same card and same bank accounts  i have filed a report with the police and also working with xxxx to verify that these charges were unauthorized  i am attaching all the documentation provided to both truist as well as xxxx  not having these funds replaced by truist has put us in a financial strain  we have been trying to resolve this for almost 2 months to date  we need a resolution as soon as possible as we have bills that are late  i have attached all supporting documents provided to truist,1032,183,5
04-08-2024,Credit reporting or other personal consumer reports,Incorrect information on your report,"Synchrony Bank sent me an electronic letter stating that they made a decision to close my Lowes account due to various reasons. I have been a Lowes customer for over XXXX  years and make monthly payments. In addition, I have other cards with Synchrony Bank that I pay monthly. I have not had to make any payment arrangements with the creditor on any of the cards. I do not have mortgage on my credit report because I inherited a home and XXXX acres that is paid in full. Over the past year, Synchrony continued to reduce my limit, causing several over the limit to occur. I continued to pay monthly. In addition, I was not provided with any notification that this would be considered after being a long standing customer with Lowes. I am asking that Synchrony either reopen my account or agree to a XXXX XXXX  Settlement due to the tarnished relationship that they have caused. I would also like a letter of apology due the embarrassment that this has caused over the past year of having to contact them several times to mitigate the issue of them repeatedly locking my card in which I provided proof that it was in fact me making the purchases. Also, due to them closing my account, they have not only impacted my XXXX XXXX, but the XXXX authorized users as well. Remove them from this account. I can be reached at XXXX.",Closed with explanation,synchrony bank sent me an electronic letter stating that they made a decision to close my lowes account due to various reasons  i have been a lowes customer for over xxxx years and make monthly payments  in addition  i have other cards with synchrony bank that i pay monthly  i have not had to make any payment arrangements with the creditor on any of the cards  i do not have mortgage on my credit report because i inherited a home and xxxx acres that is paid in full  over the past year  synchrony continued to reduce my limit  causing several over the limit to occur  i continued to pay monthly  in addition  i was not provided with any notification that this would be considered after being a long standing customer with lowes  i am asking that synchrony either reopen my account or agree to a xxxx xxxx settlement due to the tarnished relationship that they have caused  i would also like a letter of apology due the embarrassment that this has caused over the past year of having to contact them several times to mitigate the issue of them repeatedly locking my card in which i provided proof that it was in fact me making the purchases  also  due to them closing my account  they have not only impacted my xxxx xxxx  but the xxxx authorized users as well  remove them from this account  i can be reached at xxxx,1318,240,6
14-01-2022,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,"I've recently checked my consumer report and I notice that this company placed an unauthorize inquiry on my consumer report. I suspect that my identity may have been stolen and that a possible crime has been committed by your corporation. There are no open accounts tied to this account on my consumer report, nor did I allow this company to report my personal information to any reporting agencies. Additionally, I am a protected consumer, this company is sending me mail which is a form of communication when I never done business with them before, nor did I get proof of my ignition of the account. I am demanding this inquiry to be deleted from my consumer report.",Closed with non-monetary relief,i ve recently checked my consumer report and i notice that this company placed an unauthorize inquiry on my consumer report  i suspect that my identity may have been stolen and that a possible crime has been committed by your corporation  there are no open accounts tied to this account on my consumer report  nor did i allow this company to report my personal information to any reporting agencies  additionally  i am a protected consumer  this company is sending me mail which is a form of communication when i never done business with them before  nor did i get proof of my ignition of the account  i am demanding this inquiry to be deleted from my consumer report,667,118,7
09-06-2025,Checking or savings account,Closing an account,"I have XXXX investment accounts with XXXX. They put a security freeze in my accounts and closed my checking account with an email notifying me. They say my XXXX investment accounts, one brokerage and 1 IRA are closed. They gave no notification as to why or when I can move my funds. I call daily and get no response other than they are closing my account and I can not move the funds. It's been going on XXXX weeks.",Closed with explanation,i have xxxx investment accounts with xxxx  they put a security freeze in my accounts and closed my checking account with an email notifying me  they say my xxxx investment accounts  one brokerage and 1 ira are closed  they gave no notification as to why or when i can move my funds  i call daily and get no response other than they are closing my account and i can not move the funds  it s been going on xxxx weeks,414,80,8
10-06-2022,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,"In accordance with the Fair Credit Reporting Act, XXXX Account # XXXX and XXXX XXXX account # XXXX have violated my rights. 

15 U.S.C. 1681 Section 602 A states I have the right to privacy.

15 U.S.C. 1681 Section 604 A Section 2 also states a consumer reporting agency can not furnish an account without my written instructions.",Closed with explanation,in accordance with the fair credit reporting act  xxxx account   xxxx and xxxx xxxx account   xxxx have violated my rights  15 u s c  1681 section 602 a states i have the right to privacy  15 u s c  1681 section 604 a section 2 also states a consumer reporting agency can not furnish an account without my written instructions,326,60,9
